city,county,latitude,longitude,name,rank,scores_industry_income,scores_international_outlook,scores_overall,scores_research,scores_teaching,state,stats_female_male_ratio,stats_pc_intl_students,stats_student_staff_ratio,year
Baltimore,Baltimore,39.329808,-76.620723,Johns Hopkins University,12,91.3,73.2,89.2,91.4,81.7,MD,52 : 48,26%,4.5,2020
Ithaca,Tompkins,42.448713,-76.476535,Cornell University,19,37.1,73.4,85.1,86.0,79.7,NY,49 : 51,25%,9.8,2020
Durham,Durham,36.002344,-78.938597,Duke University,20,99.9,61.5,84.0,76.8,82.4,NC,49 : 51,19%,4.3,2020
Ann Arbor,Washtenaw,42.27803,-83.736564,University of Michigan-Ann Arbor,21,47.7,59.2,83.8,86.1,79.4,MI,49 : 51,17%,8.3,2020
Evanston,Cook,42.058377,-87.673653,Northwestern University,22,78.4,64.1,83.5,83.8,74.2,IL,49 : 51,20%,12.8,2020
Pittsburgh,Allegheny,40.443598,-79.943485,Carnegie Mellon University,=27,50.5,80.6,81.3,82.7,65.9,PA,41 : 59,48%,13.6,2020
New York,New York,40.729452,-73.997264,New York University,29,38.7,65.4,81.1,77.5,76.8,NY,57 : 43,33%,8.9,2020
Champaign,Champaign,40.108312,-88.228482,University of Illinois at Urbana-Champaign,=48,47.9,54.3,72.9,78.0,63.2,IL,47 : 53,24%,17.9,2020
Madison,Dane,43.073858,-89.405356,University of Wisconsin-Madison,51,46.3,47.4,72.0,70.3,68.8,WI,,13%,10.0,2020
Saint Louis,St. Louis,38.648125,-90.311639,Washington University in St Louis,52,40.7,57.1,71.5,57.5,64.2,MO,,20%,7.5,2020
Providence,Providence,41.826853,-71.402925,Brown University,53,36.5,61.4,70.0,56.1,64.0,RI,,20%,10.8,2020
Chapel Hill,Orange,35.912165,-79.050969,University of North Carolina at Chapel Hill,54,43.9,38.0,69.9,63.2,59.7,NC,57 : 43,8%,9.4,2020
Boston,Suffolk,42.349581,-71.09984,Boston University,61,41.4,64.4,68.5,55.6,57.3,MA,60 : 40,27%,11.6,2020
Los Angeles,Los Angeles,34.021058,-118.283858,University of Southern California,=62,39.7,66.2,68.1,59.3,54.7,CA,53 : 47,25%,11.7,2020
Atlanta,DeKalb,33.798836,-84.325782,Emory University,=80,45.4,57.9,64.0,40.4,56.0,GA,58 : 42,20%,4.0,2020
East Lansing,Ingham,42.72476,-84.473639,Michigan State University,84,37.8,63.3,63.9,57.4,56.6,MI,51 : 49,16%,16.5,2020
Hanover,Grafton,43.705524,-72.288842,Dartmouth College,=94,41.0,39.6,62.4,39.9,58.4,NH,49 : 51,15%,7.7,2020
Washington,District of Columbia,38.908809,-77.073463,Georgetown University,=102,62.5,47.2,61.9,37.9,57.3,DC,54 : 46,18%,8.5,2020
Tucson,Pima,32.232866,-110.950086,University of Arizona,104,52.7,40.2,61.8,53.7,52.6,AZ,52 : 48,10%,18.4,2020
Houston,Harris,29.716218,-95.404977,Rice University,=105,45.4,77.0,61.6,39.7,49.1,TX,42 : 58,28%,8.9,2020
Nashville,Davidson,36.14443,-86.804875,Vanderbilt University,116,47.5,43.0,60.2,42.1,48.7,TN,54 : 46,14%,3.0,2020
Cleveland,Cuyahoga,41.504095,-81.604893,Case Western Reserve University,119,42.1,52.2,60.0,39.9,48.4,OH,50 : 50,23%,8.8,2020
Boulder,Boulder,40.004415,-105.267061,University of Colorado Boulder,124,41.7,47.3,59.6,45.6,44.8,CO,44 : 56,11%,16.3,2020
Medford,Middlesex,42.406004,-71.120641,Tufts University,=139,38.6,49.6,58.0,34.2,49.1,MA,55 : 45,16%,9.8,2020
Notre Dame,St. Joseph,41.699587,-86.237075,University of Notre Dame,=157,38.1,55.3,56.9,46.2,52.9,IN,45 : 55,12%,13.7,2020
Birmingham,Jefferson,33.50223,-86.80917,University of Alabama at Birmingham,172,74.8,37.4,55.7,33.6,39.2,AL,62 : 38,6%,16.7,2020
Rochester,Monroe,43.126397,-77.631202,University of Rochester,=173,40.9,67.2,55.6,30.3,43.4,NY,49 : 51,31%,4.2,2020
Gainesville,Alachua,29.638248,-82.361195,University of Florida,=175,57.9,40.0,55.4,53.8,54.0,FL,55 : 45,10%,16.8,2020
Washington,District of Columbia,38.899096,-77.046277,George Washington University,=198,35.0,55.5,53.8,32.4,48.6,DC,60 : 40,18%,13.1,2020
Waltham,Middlesex,42.364947,-71.254716,Brandeis University,201–250,35.6,53.4,50.1–53.7,22.9,28.5,MA,57 : 43,27%,12.2,2020
Washington,District of Columbia,38.920739,-77.019478,Howard University,201–250,34.4,34.0,50.1–53.7,15.3,42.8,DC,65 : 35,8%,7.5,2020
Iowa City,Johnson,41.660695,-91.535698,University of Iowa,201–250,54.0,46.5,50.1–53.7,29.5,43.1,IA,52 : 48,12%,11.6,2020
Coral Gables,Miami-Dade,25.720406,-80.27645,University of Miami,201–250,41.3,59.1,50.1–53.7,25.2,44.0,FL,52 : 48,16%,6.3,2020
Salt Lake City,Salt Lake,40.762484,-111.846044,University of Utah,201–250,48.3,33.0,50.1–53.7,34.7,39.0,UT,47 : 53,8%,14.2,2020
Blacksburg,Montgomery,37.229906,-80.419988,Virginia Polytechnic Institute and State University,201–250,47.5,54.0,50.1–53.7,42.3,37.5,VA,43 : 57,14%,18.3,2020
Winston Salem,Forsyth,36.135301,-80.279004,Wake Forest University,201–250,43.6,31.2,50.1–53.7,18.8,42.8,NC,53 : 47,9%,4.0,2020
Buffalo,Erie,42.955292,-78.819555,University at Buffalo,251–300,42.1,64.7,46.9–50.0,32.7,37.2,NY,44 : 56,17%,17.4,2020
Newark,New Castle,39.678028,-75.752833,University of Delaware,251–300,90.6,47.2,46.9–50.0,38.2,28.5,DE,57 : 43,10%,17.0,2020
Tallahassee,Leon,30.443222,-84.301554,Florida State University,251–300,39.4,43.5,46.9–50.0,40.1,38.0,FL,56 : 44,7%,24.1,2020
Fairfax,Fairfax,38.83088,-77.30794,George Mason University,251–300,35.8,46.2,46.9–50.0,26.3,29.9,VA,54 : 46,10%,18.0,2020
Eugene,Lane,44.044515,-123.07398,University of Oregon,251–300,34.7,37.0,46.9–50.0,29.3,34.0,OR,54 : 46,12%,10.8,2020
Syracuse,Onondaga,43.039891,-76.13267,Syracuse University,251–300,35.3,48.7,46.9–50.0,29.6,35.1,NY,53 : 47,20%,15.7,2020
Chestnut Hill,Middlesex,42.336203,-71.169242,Boston College,301–350,34.4,42.3,44.5–46.8,33.7,36.7,MA,55 : 45,11%,15.7,2020
Golden,Jefferson,39.749092,-105.222907,Colorado School of Mines,301–350,46.6,42.1,44.5–46.8,25.1,30.1,CO,29 : 71,11%,16.7,2020
Fort Lauderdale,Broward,26.079337,-80.24248,Nova Southeastern University,301–350,34.4,29.5,44.5–46.8,10.3,33.8,FL,69 : 31,6%,23.4,2020
Chicago,Cook,41.873493,-87.669466,Rush University,301–350,41.3,19.7,44.5–46.8,12.9,37.2,IL,74 : 26,1%,2.0,2020
Stony Brook,Suffolk,40.91554,-73.12112,Stony Brook University,301–350,36.1,71.5,44.5–46.8,23.5,34.4,NY,50 : 50,23%,10.5,2020
Philadelphia,Philadelphia,39.980712,-75.158452,Temple University,301–350,34.4,37.7,44.5–46.8,23.5,39.3,PA,53 : 47,9%,13.0,2020
Fairbanks,Fairbanks North Star,64.855573,-147.825921,University of Alaska Fairbanks,351–400,43.8,53.9,42.4–44.4,25.0,27.5,AK,51 : 49,5%,8.7,2020
Worcester,Worcester,42.250778,-71.823632,Clark University,351–400,34.4,57.5,42.4–44.4,22.7,24.0,MA,60 : 40,23%,11.5,2020
Storrs,Tolland,41.807658,-72.256961,University of Connecticut,351–400,37.9,49.0,42.4–44.4,29.7,36.5,CT,53 : 47,9%,15.2,2020
Denver,Denver,39.681439,-104.961532,University of Denver,351–400,35.8,27.8,42.4–44.4,22.3,40.5,CO,57 : 43,9%,13.0,2020
Hempstead,Nassau,40.715959,-73.60078,Hofstra University,351–400,34.4,29.8,42.4–44.4,13.2,38.4,NY,57 : 43,9%,13.9,2020
Ames,Story,42.025303,-93.65024,Iowa State University,351–400,49.6,56.7,42.4–44.4,33.0,29.5,IA,44 : 56,12%,18.8,2020
Corvallis,Benton,44.563109,-123.278711,Oregon State University,351–400,37.7,52.9,42.4–44.4,30.1,30.9,OR,46 : 54,11%,16.0,2020
Pullman,Whitman,46.730448,-117.158168,Washington State University,351–400,48.4,49.3,42.4–44.4,28.6,30.7,WA,52 : 48,7%,18.1,2020
Detroit,Wayne,42.35861,-83.072864,Wayne State University,351–400,45.4,37.6,42.4–44.4,18.1,33.3,MI,55 : 45,9%,11.3,2020
Tuscaloosa,Tuscaloosa,33.2144,-87.545766,The University of Alabama,401–500,35.3,28.9,38.8–42.3,22.4,26.9,AL,56 : 44,4%,22.5,2020
Washington,District of Columbia,38.936981,-77.088785,American University,401–500,39.1,32.3,38.8–42.3,19.5,40.9,DC,65 : 35,12%,11.0,2020
Philadelphia,Philadelphia,39.954855,-75.188745,Drexel University,401–500,41.5,50.3,38.8–42.3,20.4,35.8,PA,50 : 50,17%,11.1,2020
Athens,Clarke,33.937727,-83.37143,University of Georgia,401–500,37.2,46.0,38.8–42.3,35.8,34.9,GA,57 : 43,7%,16.3,2020
Atlanta,Fulton,33.7527,-84.38667,Georgia State University,401–500,35.4,41.9,38.8–42.3,27.2,33.9,GA,61 : 39,6%,14.4,2020
Houston,Harris,29.719988,-95.344851,University of Houston,401–500,36.8,42.5,38.8–42.3,25.9,33.6,TX,50 : 50,9%,25.7,2020
Lawrence,Douglas,38.956474,-95.258651,University of Kansas,401–500,43.5,35.4,38.8–42.3,22.6,36.9,KS,52 : 48,9%,9.9,2020
Lexington,Fayette,38.028761,-84.502517,University of Kentucky,401–500,38.4,38.0,38.8–42.3,24.9,37.0,KY,55 : 45,4%,12.4,2020
Saint Louis,St. Louis,38.711297,-90.308886,University of Missouri-St Louis,401–500,40.4,40.6,38.8–42.3,24.7,30.0,MO,58 : 42,6%,16.0,2020
Lincoln,Lancaster,40.821787,-96.700663,University of Nebraska-Lincoln,401–500,38.6,56.7,38.8–42.3,28.0,30.1,NE,48 : 52,11%,17.2,2020
Socorro,Socorro,34.06619,-106.907701,New Mexico Institute of Mining and Technology,401–500,78.1,62.9,38.8–42.3,14.6,22.3,NM,30 : 70,8%,11.3,2020
Troy,Rensselaer,42.728983,-73.678768,Rensselaer Polytechnic Institute,401–500,67.0,52.1,38.8–42.3,28.7,30.0,NY,32 : 68,20%,15.6,2020
Columbia,Richland,33.996677,-81.026916,University of South Carolina-Columbia,401–500,36.2,43.2,38.8–42.3,25.5,33.2,SC,55 : 45,5%,16.2,2020
San Antonio,Bexar,29.582418,-98.621386,The University of Texas at San Antonio,401–500,36.2,36.4,38.8–42.3,21.1,18.1,TX,51 : 49,4%,24.5,2020
Huntsville,Madison,34.722818,-86.63842,University of Alabama in Huntsville,501–600,68.4,44.9,35.3–38.7,22.4,22.2,AL,43 : 57,8%,16.3,2020
Miami,Miami-Dade,25.757111,-80.377591,Florida International University,501–600,38.0,39.7,35.3–38.7,22.6,30.4,FL,57 : 43,8%,23.8,2020
Moscow,Latah,46.726894,-117.024296,University of Idaho,501–600,36.2,45.9,35.3–38.7,21.1,33.3,ID,48 : 52,8%,17.0,2020
Rolla,Phelps,37.955853,-91.7759,Missouri University of Science and Technology,501–600,52.9,66.0,35.3–38.7,24.6,24.2,MO,23 : 77,14%,22.2,2020
Omaha,Douglas,41.255088,-95.976346,University of Nebraska Medical Center,501–600,38.1,43.5,35.3–38.7,12.1,35.8,NE,68 : 32,7%,2.3,2020
Newark,Essex,40.741997,-74.177113,New Jersey Institute of Technology,501–600,36.7,76.8,35.3–38.7,19.2,21.3,NJ,25 : 75,17%,15.1,2020
Flagstaff,Coconino,35.188875,-111.655559,Northern Arizona University,501–600,35.1,31.5,35.3–38.7,14.7,20.2,AZ,60 : 40,5%,28.1,2020
Kingston,Washington,41.489334,-71.528708,University of Rhode Island,501–600,34.4,35.4,35.3–38.7,17.7,23.9,RI,57 : 43,3%,19.3,2020
San Diego,San Diego,32.77525,-117.071228,San Diego State University,501–600,35.1,33.9,35.3–38.7,24.4,23.7,CA,55 : 45,8%,30.5,2020
Milwaukee,Milwaukee,43.076848,-87.880488,University of Wisconsin-Milwaukee,501–600,36.2,33.2,35.3–38.7,22.7,21.7,WI,53 : 47,6%,19.3,2020
Fayetteville,Washington,36.065642,-94.177852,University of Arkansas,601–800,39.4,30.9,28.3–35.2,23.0,26.9,AR,52 : 48,5%,19.8,2020
Auburn University,Lee,32.600201,-85.492409,Auburn University,601–800,40.2,43.8,28.3–35.2,21.1,32.7,AL,51 : 49,9%,18.8,2020
Waco,McLennan,31.54615,-97.118453,Baylor University,601–800,35.3,33.2,28.3–35.2,18.2,32.1,TX,57 : 43,6%,16.2,2020
Orlando,Orange,28.602159,-81.200889,University of Central Florida,601–800,42.6,32.9,28.3–35.2,28.7,26.5,FL,56 : 44,4%,35.3,2020
Clemson,Pickens,34.677329,-82.834463,Clemson University,601–800,40.1,39.2,28.3–35.2,21.2,25.0,SC,47 : 53,7%,17.0,2020
Omaha,Douglas,41.265354,-95.9478,Creighton University,601–800,35.7,29.8,28.3–35.2,11.6,42.0,NE,58 : 42,8%,11.1,2020
Manhattan,Riley,39.188616,-96.581077,Kansas State University,601–800,41.9,47.2,28.3–35.2,20.4,25.0,KS,50 : 50,9%,14.3,2020
Bethlehem,Northampton,40.606626,-75.377095,Lehigh University,601–800,40.3,45.1,28.3–35.2,20.8,27.4,PA,44 : 56,17%,10.8,2020
Bozeman,Gallatin,45.666829,-111.049918,Montana State University,601–800,48.4,28.4,28.3–35.2,19.4,18.6,MT,46 : 54,3%,19.4,2020
Greensboro,Guilford,36.067503,-79.809844,University of North Carolina at Greensboro,601–800,35.4,21.3,28.3–35.2,19.3,20.9,NC,66 : 34,4%,22.2,2020
Norfolk,Norfolk,36.884919,-76.309653,Old Dominion University,601–800,34.4,30.4,28.3–35.2,19.2,22.7,VA,55 : 45,3%,18.2,2020
Portland,Multnomah,45.511698,-122.684197,Portland State University,601–800,35.7,30.4,28.3–35.2,18.4,21.1,OR,55 : 45,9%,18.4,2020
Vermillion,Clay,42.784676,-96.926533,University of South Dakota,601–800,39.0,25.3,28.3–35.2,15.6,31.2,SD,61 : 39,3%,35.1,2020
Hoboken,Hudson,40.744776,-74.025334,Stevens Institute of Technology,601–800,35.6,68.7,28.3–35.2,15.8,22.5,NJ,29 : 71,38%,16.7,2020
Lubbock,Lubbock,33.580451,-101.877129,Texas Tech University,601–800,36.2,48.4,28.3–35.2,20.9,30.8,TX,46 : 54,9%,20.6,2020
Toledo,Lucas,41.657246,-83.615936,University of Toledo,601–800,42.8,46.2,28.3–35.2,13.9,33.7,OH,51 : 49,11%,15.5,2020
Bellingham,Whatcom,48.737379,-122.485016,Western Washington University,601–800,34.5,22.9,28.3–35.2,10.6,16.2,WA,57 : 43,1%,17.7,2020
Morgantown,Monongalia,39.63468,-79.953926,West Virginia University,601–800,34.4,40.8,28.3–35.2,17.1,27.8,WV,48 : 52,8%,18.5,2020
Worcester,Worcester,42.274953,-71.807916,Worcester Polytechnic Institute,601–800,36.5,56.2,28.3–35.2,17.7,20.1,MA,34 : 66,22%,12.7,2020
Boca Raton,Palm Beach,26.372421,-80.102978,Florida Atlantic University,801–1000,37.9,44.6,22.2–28.2,19.1,21.0,FL,60 : 40,10%,18.3,2020
Melbourne,Brevard,28.064503,-80.624628,Florida Institute of Technology,801–1000,37.7,56.8,22.2–28.2,14.6,22.7,FL,34 : 66,33%,14.1,2020
Ruston,Lincoln,32.525518,-92.64964,Louisiana Tech University,801–1000,34.8,32.7,22.2–28.2,9.7,17.3,LA,46 : 54,4%,22.6,2020
Milwaukee,Milwaukee,43.037183,-87.931088,Marquette University,801–1000,36.3,24.6,22.2–28.2,14.4,36.0,WI,53 : 47,4%,12.0,2020
Mississippi State,Oktibbeha,33.451697,-88.790826,Mississippi State University,801–1000,40.3,25.9,22.2–28.2,15.8,21.8,MS,51 : 49,3%,19.0,2020
New York,New York,40.735047,-73.994807,The New School,801–1000,38.4,50.3,22.2–28.2,15.2,23.9,NY,71 : 29,35%,9.4,2020
Rochester,Monroe,43.084436,-77.673854,Rochester Institute of Technology,801–1000,35.9,41.6,22.2–28.2,18.1,20.0,NY,36 : 64,18%,15.7,2020
Wilmington,New Hanover,34.225223,-77.875527,University of North Carolina Wilmington,1001+,35.1,26.5,10.7–22.1,7.7,15.9,NC,62 : 38,2%,19.6,2020
Jacksonville,Duval,30.269313,-81.508308,University of North Florida,1001+,34.6,24.0,10.7–22.1,10.5,24.8,FL,57 : 43,2%,17.7,2020
Rochester Hills,Oakland,42.674569,-83.216414,Oakland University,1001+,35.3,28.9,10.7–22.1,12.7,25.5,MI,57 : 43,4%,18.9,2020
Tempe,Maricopa,33.4172,-111.9355,Arizona State University (Tempe),=155,38.5,61.8,57.1,50.7,39.3,AZ,43 : 57,21%,21.1,2020
Fort Collins,Larimer,39.7448,-104.9887,"Colorado State University, Fort Collins",401–500,38.4,38.4,38.8–42.3,25.3,27.8,CO,53 : 47,6%,16.3,2020
New York,New York,40.8075,-73.9619,Columbia University,16,44.8,79.3,87.0,82.6,85.6,NY,,37%,5.8,2020
Atlanta,Fulton,33.7756,-84.3963,Georgia Institute of Technology,=38,61.6,77.1,75.4,76.4,60.2,GA,33 : 67,27%,18.3,2020
Bloomington,Monroe,39.1678,-86.5235,Indiana University,=134,49.8,53.5,58.4,49.7,50.8,IN,52 : 48,15%,13.6,2020
Kent,Portage,41.1516,-81.337,Kent State University,601–800,34.8,42.6,28.3–35.2,19.0,23.6,TX,60 : 40,9%,20.4,2020
Baton Rouge,East Baton Rouge,30.4127,-91.1807,Louisiana State University,501–600,35.4,35.5,35.3–38.7,26.3,34.5,LA,52 : 48,6%,20.7,2020
Columbia,Boone,38.941,-92.3264,Mizzou - University of Missouri,401–500,35.5,39.9,38.8–42.3,24.2,34.9,MO,53 : 47,6%,13.3,2020
Las Cruces,Doña Ana,32.2829,-106.7478,New Mexico State University (Main campus),601–800,38.8,37.7,28.3–35.2,14.7,21.5,NY,54 : 46,8%,16.5,2020
Raleigh,Wake,35.7851,-78.6744,North Carolina State University,301–350,43.2,57.8,44.5–46.8,35.3,36.7,NC,45 : 55,15%,12.5,2020
Boston,Suffolk,42.3395,-71.0878,"Northeastern University, US",=173,38.0,75.0,55.6,27.9,38.0,MA,49 : 51,35%,13.9,2020
Columbus,Franklin,39.9995,-83.0082,Ohio State University (Main campus),70,53.3,59.5,66.1,56.1,57.5,OH,50 : 50,13%,12.5,2020
Athens,Athens,39.3237,-82.1035,Ohio University (Main campus),601–800,35.4,30.6,28.3–35.2,17.4,28.5,OH,56 : 44,5%,22.3,2020
Stillwater,Payne,36.123,-97.0696,Oklahoma State University,401–500,36.9,44.3,38.8–42.3,21.5,24.1,OK,50 : 50,7%,15.8,2020
Portland,Multnomah,45.4988,-122.686,Oregon Health and Science University,251–300,47.6,26.6,46.9–50.0,16.7,35.7,OR,66 : 34,3%,1.0,2020
West Lafayette,Tippecanoe,40.4281,-86.9143,Purdue University West Lafayette,88,64.3,72.0,63.1,66.4,57.5,IN,43 : 57,23%,15.7,2020
New Brunswick,Middlesex,40.4995,-74.447,Rutgers University – New Brunswick,=168,41.1,51.5,56.0,48.5,47.8,NJ,52 : 48,17%,11.2,2020
Albany,Albany,42.6869,-73.8249,SUNY University at Albany,351–400,40.1,49.6,42.4–44.4,35.4,24.0,NY,52 : 48,10%,16.6,2020
College Station,Brazos,30.6107,-96.3491,Texas A&M University,178,45.3,54.3,55.3,54.8,49.3,TX,47 : 53,8%,24.8,2020
San Marcos,Hays,29.888,-97.9391,Texas State University,1001+,36.4,30.4,10.7–22.1,14.3,17.4,TX,58 : 42,1%,19.1,2020
Chicago,Cook,41.7901,-87.6009,The University of Chicago,9,52.7,76.0,90.2,91.4,89.1,IL,46 : 54,28%,5.7,2020
Knoxville,Knox,35.9551,-83.92966,The University of Tennessee-Knoxville,301–350,43.9,45.7,44.5–46.8,23.4,32.9,TN,,5%,16.8,2020
New Orleans,Orleans,29.9397,-90.1203,Tulane University,301–350,37.0,41.9,44.5–46.8,24.1,42.3,LA,57 : 43,11%,9.8,2020
Berkeley,Alameda,37.8757,-122.2484,"University of California, Berkeley",=13,46.1,70.4,88.3,90.6,83.0,CA,50 : 50,17%,13.7,2020
Davis,Yolo,38.5381,-121.751,"University of California, Davis",=55,51.4,62.4,69.7,66.9,62.4,CA,58 : 42,14%,12.0,2020
Irvine,Orange,33.6431,-117.8378,"University of California, Irvine",=96,58.9,71.9,62.3,46.5,43.3,CA,52 : 48,26%,16.5,2020
Los Angeles,Los Angeles,34.0688,-118.4439,"University of California, Los Angeles",17,51.3,64.1,86.8,88.6,83.1,CA,54 : 46,17%,9.4,2020
Merced,Merced,37.3662,-120.4249,"University of California, Merced",351–400,38.0,42.4,42.4–44.4,21.6,17.1,CA,51 : 49,8%,20.9,2020
Riverside,Riverside,33.9745,-117.3287,"University of California, Riverside",251–300,39.4,64.7,46.9–50.0,30.3,31.2,CA,53 : 47,14%,18.0,2020
San Diego,San Diego,32.881,-117.2377,"University of California, San Diego",31,90.3,63.7,78.8,78.9,62.6,CA,46 : 54,23%,13.0,2020
Santa Barbara,Santa Barbara,34.4123,-119.8514,"University of California, Santa Barbara",=57,84.5,68.1,69.6,63.6,47.9,CA,52 : 48,16%,27.6,2020
Santa Cruz,Santa Cruz,36.999,-122.0607,"University of California, Santa Cruz",=179,39.1,60.6,55.2,34.9,33.1,CA,50 : 50,10%,23.0,2020
Honolulu,Honolulu,21.2972,-157.8162,University of Hawai’i at Mānoa,201–250,51.5,65.5,50.1–53.7,38.9,36.3,HI,57 : 43,10%,10.8,2020
Chicago,Cook,41.8718,-87.6505,University of Illinois Chicago,251–300,43.2,54.9,46.9–50.0,33.4,45.0,IL,52 : 48,20%,11.5,2020
Baltimore,Baltimore,39.2567,-76.7115,"University of Maryland, Baltimore County",601–800,35.7,34.3,28.3–35.2,17.4,22.9,MD,45 : 55,8%,18.1,2020
College Park,Prince George's,38.9886,-76.9396,"University of Maryland, College Park",=91,39.2,41.2,62.7,59.1,46.9,MD,48 : 52,11%,16.6,2020
Amherst,Hampshire,42.3886,-72.5293,University of Massachusetts,201–250,49.9,61.7,50.1–53.7,31.1,38.5,MA,48 : 52,15%,13.0,2020
Minneapolis,Hennepin,44.9778,-93.2353,University of Minnesota,79,78.2,40.2,64.1,59.3,55.2,MN,52 : 48,11%,12.4,2020
Las Vegas,Clark,36.1069,-115.1411,"University of Nevada, Las Vegas",601–800,35.1,32.2,28.3–35.2,22.6,28.7,IN,57 : 43,5%,22.7,2020
Albuquerque,Bernalillo,35.0838,-106.6201,University of New Mexico (Main campus),301–350,37.4,33.2,44.5–46.8,31.8,29.2,NM,55 : 45,5%,17.1,2020
Pittsburgh,Allegheny,40.4426,-79.9541,University of Pittsburgh-Pittsburgh campus,=113,40.7,39.3,60.4,45.5,47.4,PA,51 : 49,11%,5.8,2020
Arlington,Tarrant,32.7291,-97.1151,University of Texas at Arlington,601–800,39.7,46.0,28.3–35.2,18.3,21.0,TX,56 : 44,15%,25.2,2020
Austin,Travis,30.2838,-97.7364,University of Texas at Austin,=38,46.6,39.1,75.4,76.2,68.2,TX,52 : 48,10%,17.2,2020
Richardson,Dallas,32.9894,-96.7487,University of Texas at Dallas,301–350,39.9,60.2,44.5–46.8,29.3,23.7,TX,43 : 57,25%,21.6,2020
El Paso,El Paso,31.7717,-106.5035,University of Texas at El Paso,801–1000,34.4,40.7,22.2–28.2,22.9,21.0,TX,53 : 47,8%,23.2,2020
Charlottesville,Albemarle,38.0339,-78.5118,University of Virginia (Main campus),=107,41.6,48.9,61.5,43.5,54.4,VA,52 : 48,12%,8.6,2020
Seattle,King,47.6557,-122.3108,University of Washington,26,47.5,60.4,81.6,82.2,72.2,WA,53 : 47,16%,11.1,2020
Williamsburg,James City,37.2732,-76.7196,William & Mary,201–250,35.3,37.3,50.1–53.7,21.1,47.5,VA,55 : 45,9%,11.4,2020
Stanford,Santa Clara,37.432974,-122.175045,Stanford University,3,64.6,79.3,94.7,96.8,93.6,CA,43 : 57,23%,7.4,2019
Cambridge,Middlesex,42.360095,-71.092115,Massachusetts Institute of Technology,4,87.6,89.0,94.2,92.7,91.9,MA,38 : 62,34%,8.7,2019
Pasadena,Los Angeles,34.139181,-118.125567,California Institute of Technology,5,88.2,62.3,94.1,97.2,94.5,CA,33 : 67,29%,6.5,2019
Cambridge,Middlesex,42.374172,-71.118234,Harvard University,6,48.7,79.7,93.6,98.4,90.1,MA,48 : 52,26%,9.1,2019
Princeton,Mercer,40.347141,-74.657698,Princeton University,7,57.3,80.1,92.3,93.6,89.9,NJ,45 : 55,24%,8.2,2019
New Haven,New Haven,41.312308,-72.922511,Yale University,8,51.5,68.3,91.3,93.5,91.6,CT,50 : 50,20%,5.2,2019
Baltimore,Baltimore,39.329808,-76.620723,Johns Hopkins University,=12,95.5,71.9,89.0,90.5,81.9,MD,52 : 48,25%,4.6,2019
Philadelphia,Philadelphia,39.951002,-75.193618,University of Pennsylvania,=12,70.3,63.6,89.0,89.2,87.4,PA,52 : 48,20%,6.4,2019
Durham,Durham,36.002344,-78.938597,Duke University,18,100.0,61.0,85.4,78.8,84.1,NC,48 : 52,18%,4.4,2019
Ithaca,Tompkins,42.448713,-76.476535,Cornell University,19,36.9,71.8,85.1,85.4,79.7,NY,49 : 51,25%,9.8,2019
Ann Arbor,Washtenaw,42.27803,-83.736564,University of Michigan-Ann Arbor,20,45.9,58.0,84.1,85.9,80.0,MI,48 : 52,17%,8.3,2019
Pittsburgh,Allegheny,40.443598,-79.943485,Carnegie Mellon University,24,48.1,79.4,82.0,81.2,69.0,PA,40 : 60,47%,13.3,2019
Evanston,Cook,42.058377,-87.673653,Northwestern University,25,75.8,63.0,81.7,83.6,69.0,IL,48 : 52,19%,13.0,2019
New York,New York,40.729452,-73.997264,New York University,27,38.9,65.0,81.0,76.1,77.7,NY,56 : 44,32%,8.9,2019
Madison,Dane,43.073858,-89.405356,University of Wisconsin-Madison,43,46.8,45.6,73.9,71.0,70.3,WI,,12%,10.5,2019
Champaign,Champaign,40.108312,-88.228482,University of Illinois at Urbana-Champaign,50,49.4,53.5,72.3,73.5,63.2,IL,47 : 53,24%,17.9,2019
Providence,Providence,41.826853,-71.402925,Brown University,53,36.2,60.4,71.4,57.3,67.3,RI,,21%,10.7,2019
Saint Louis,St. Louis,38.648125,-90.311639,Washington University in St Louis,54,39.5,56.5,70.9,56.6,63.1,MO,,20%,7.3,2019
Chapel Hill,Orange,35.912165,-79.050969,University of North Carolina at Chapel Hill,56,42.4,36.8,70.0,61.4,62.2,NC,57 : 43,8%,9.4,2019
Los Angeles,Los Angeles,34.021058,-118.283858,University of Southern California,66,39.2,66.3,67.0,56.6,53.2,CA,53 : 47,25%,11.6,2019
Boston,Suffolk,42.349581,-71.09984,Boston University,=74,36.5,62.3,65.0,44.8,56.3,MA,60 : 40,27%,8.4,2019
Atlanta,DeKalb,33.798836,-84.325782,Emory University,=84,43.6,56.4,63.6,39.7,56.0,GA,58 : 42,20%,4.2,2019
Houston,Harris,29.716218,-95.404977,Rice University,86,44.6,75.1,63.5,40.4,50.9,TX,42 : 58,28%,8.9,2019
East Lansing,Ingham,42.72476,-84.473639,Michigan State University,=93,37.9,62.9,62.8,54.2,56.5,MI,51 : 49,17%,17.0,2019
Hanover,Grafton,43.705524,-72.288842,Dartmouth College,=99,41.3,40.1,62.4,38.9,59.6,NH,48 : 52,15%,6.7,2019
Washington,District of Columbia,38.908809,-77.073463,Georgetown University,109,64.6,46.9,60.7,36.0,56.0,DC,54 : 46,17%,8.5,2019
