rank_order,rank,name,scores_overall,scores_overall_rank,scores_teaching,scores_teaching_rank,scores_research,scores_research_rank,scores_citations,scores_citations_rank,scores_industry_income,scores_industry_income_rank,scores_international_outlook,scores_international_outlook_rank,location,stats_number_students,stats_student_staff_ratio,stats_pc_intl_students,stats_female_male_ratio,aliases,subjects_offered,closed,unaccredited,city,state,zip,county,latitude,longitude,year
13280,1001+,University of North Carolina Wilmington,10.3–25.0,13280,16.2,1374,8.2,1458,28.1,1056,34.4,1216,27.5,1148,United States,"14,865",18.8,2%,62 : 38,University of North Carolina Wilmington,"Chemistry,Sport Science,Politics & International Studies (incl Development Studies),Art, Performing Arts & Design,Mathematics & Statistics,Electrical & Electronic Engineering,Biological Sciences,Sociology,Languages, Literature & Linguistics,Physics & Astronomy,Geology, Environmental, Earth & Marine Sciences,Economics & Econometrics,Other Health,Education,Communication & Media Studies,Computer Science,Geography,Psychology,History, Philosophy & Theology,Business & Management,General Engineering,Agriculture & Forestry,Accounting & Finance",False,False,Wilmington,NC,28403,New Hanover,34.225223,-77.875527,2021
13350,1001+,Oakland University,10.3–25.0,13350,27.2,571,13.9,961,27.5,1069,33.8,1333,30.8,1050,United States,"15,441",18.1,4%,57 : 43,Oakland University,"Mathematics & Statistics,Accounting & Finance,Medicine & Dentistry,Geography,Law,Psychology,History, Philosophy & Theology,Archaeology,Computer Science,Civil Engineering,Geology, Environmental, Earth & Marine Sciences,Agriculture & Forestry,Veterinary Science,Mechanical & Aerospace Engineering,Business & Management,Chemistry,Chemical Engineering,Architecture,General Engineering,Languages, Literature & Linguistics,Physics & Astronomy,Sociology,Electrical & Electronic Engineering,Other Health,Biological Sciences,Communication & Media Studies,Economics & Econometrics,Sport Science,Politics & International Studies (incl Development Studies),Education,Art, Performing Arts & Design",False,False,Rochester Hills,MI,48309,Oakland,42.674569,-83.216414,2021
15070,1001+,Western Michigan University,10.3–25.0,15070,20.2,1001,15.4,865,25.8,1102,33.6,1396,34.6,955,United States,"19,273",21.8,7%,52 : 48,Western Michigan University,"Economics & Econometrics,Geography,Mechanical & Aerospace Engineering,Education,Mathematics & Statistics,Languages, Literature & Linguistics,Computer Science,Civil Engineering,Architecture,Art, Performing Arts & Design,Sport Science,Geology, Environmental, Earth & Marine Sciences,Biological Sciences,Agriculture & Forestry,Electrical & Electronic Engineering,Chemistry,Psychology,General Engineering,Accounting & Finance,Chemical Engineering,Law,Communication & Media Studies,Politics & International Studies (incl Development Studies),Sociology,Physics & Astronomy,History, Philosophy & Theology,Other Health,Business & Management",False,False,Kalamazoo,MI,49008,Kalamazoo,42.280799,-85.613482,2021
1840,=184,Arizona State University (Tempe),55.2,1840,38.2,246,47.8,141,79.1,283,37.1,862,62.8,385,United States,"45,827",19.7,20%,43 : 57,Arizona State University (Tempe),"Law,Mathematics & Statistics,Art, Performing Arts & Design,Other Health,Biological Sciences,Communication & Media Studies,Architecture,Chemical Engineering,Geology, Environmental, Earth & Marine Sciences,Geography,Accounting & Finance,Economics & Econometrics,Chemistry,Politics & International Studies (incl Development Studies),Sport Science,Physics & Astronomy,Business & Management,Civil Engineering,Psychology,History, Philosophy & Theology,Education,Mechanical & Aerospace Engineering,Sociology,Archaeology,Electrical & Electronic Engineering,General Engineering,Computer Science,Languages, Literature & Linguistics",False,False,Tempe,AZ,85281,Maricopa,33.4172,-111.9355,2021
8230,801–1000,Bowling Green State University,25.1–30.1,8230,20.0,1010,13.1,1013,43.6,783,33.4,1444,26.0,1187,United States,"15,333",16.3,4%,57 : 43,Bowling Green State University,"Biological Sciences,Languages, Literature & Linguistics,Chemistry,Electrical & Electronic Engineering,Education,Psychology,Art, Performing Arts & Design,Computer Science,Physics & Astronomy,Accounting & Finance,Sport Science,Geography,Civil Engineering,Mathematics & Statistics,Architecture,Business & Management,Other Health,Mechanical & Aerospace Engineering,Geology, Environmental, Earth & Marine Sciences,Economics & Econometrics,Law,Communication & Media Studies,Sociology,History, Philosophy & Theology,General Engineering,Politics & International Studies (incl Development Studies)",False,False,Bowling Green,OH,43403,Wood,41.377,-83.6376,2021
4220,401–500,"Colorado State University, Fort Collins",39.8–43.5,4220,28.9,508,24.7,509,76.0,318,39.0,721,38.3,869,United States,"26,178",16.1,6%,53 : 47,"Colorado State University, Fort Collins","General Engineering,Business & Management,Geography,Geology, Environmental, Earth & Marine Sciences,Computer Science,Other Health,Sociology,Sport Science,Communication & Media Studies,Education,Art, Performing Arts & Design,Chemistry,Mathematics & Statistics,Agriculture & Forestry,Archaeology,Economics & Econometrics,Politics & International Studies (incl Development Studies),Mechanical & Aerospace Engineering,Accounting & Finance,Civil Engineering,Biological Sciences,History, Philosophy & Theology,Veterinary Science,Chemical Engineering,Physics & Astronomy,Languages, Literature & Linguistics,Electrical & Electronic Engineering,Psychology",False,False,Fort Collins,CO,80523,Larimer,39.7448,-104.9887,2021
170,17,Columbia University,86.8,170,85.1,15,82.9,25,97.7,39,45.0,467,79.8,198,United States,"27,384",5.7,39%,,Columbia University,"Politics & International Studies (incl Development Studies),Economics & Econometrics,Communication & Media Studies,Civil Engineering,Geology, Environmental, Earth & Marine Sciences,Art, Performing Arts & Design,Mathematics & Statistics,Accounting & Finance,Agriculture & Forestry,Sport Science,Architecture,General Engineering,Chemical Engineering,Psychology,Law,Languages, Literature & Linguistics,Electrical & Electronic Engineering,History, Philosophy & Theology,Sociology,Computer Science,Chemistry,Archaeology,Other Health,Mechanical & Aerospace Engineering,Medicine & Dentistry,Biological Sciences,Physics & Astronomy,Business & Management",False,False,New York,NY,10027,New York,40.8075,-73.9619,2021
380,38,Georgia Institute of Technology,75.8,380,59.5,61,76.8,35,91.1,121,65.8,207,78.9,206,United States,"26,043",23.6,27%,33 : 67,Georgia Institute of Technology,"Architecture,Computer Science,Business & Management,Chemistry,Economics & Econometrics,General Engineering,Geology, Environmental, Earth & Marine Sciences,Biological Sciences,Chemical Engineering,Mechanical & Aerospace Engineering,Politics & International Studies (incl Development Studies),Electrical & Electronic Engineering,Physics & Astronomy,History, Philosophy & Theology,Civil Engineering,Languages, Literature & Linguistics,Sociology,Accounting & Finance,Geography,Psychology,Art, Performing Arts & Design,Mathematics & Statistics",False,False,Atlanta,GA,30332,Fulton,33.7756,-84.3963,2021
1400,=140,Indiana University,58.2,1400,49.8,107,48.8,132,77.8,303,51.7,346,53.6,530,United States,"67,054",15.0,15%,51 : 49,Indiana University,"Civil Engineering,Mechanical & Aerospace Engineering,History, Philosophy & Theology,Electrical & Electronic Engineering,Geology, Environmental, Earth & Marine Sciences,Mathematics & Statistics,General Engineering,Chemistry,Medicine & Dentistry,Law,Accounting & Finance,Art, Performing Arts & Design,Communication & Media Studies,Sociology,Other Health,Economics & Econometrics,Archaeology,Politics & International Studies (incl Development Studies),Languages, Literature & Linguistics,Geography,Chemical Engineering,Sport Science,Business & Management,Veterinary Science,Physics & Astronomy,Agriculture & Forestry,Education,Architecture,Psychology,Computer Science,Biological Sciences",False,False,Bloomington,IN,47405,Monroe,39.1678,-86.5235,2021
8840,801–1000,Kent State University,25.1–30.1,8840,22.4,836,17.6,759,46.8,728,33.8,1323,39.5,836,United States,"23,764",17.6,7%,60 : 40,Kent State University,"Physics & Astronomy,Geography,Mechanical & Aerospace Engineering,Accounting & Finance,General Engineering,Politics & International Studies (incl Development Studies),Architecture,Communication & Media Studies,Medicine & Dentistry,Computer Science,Art, Performing Arts & Design,Sociology,Geology, Environmental, Earth & Marine Sciences,Other Health,Education,Mathematics & Statistics,Languages, Literature & Linguistics,Economics & Econometrics,Sport Science,Biological Sciences,Business & Management,Chemistry,History, Philosophy & Theology,Psychology,Veterinary Science",False,False,Kent,TX,44242,Portage,41.1516,-81.337,2021
5520,501–600,Louisiana State University,36.4–39.7,5520,32.6,380,23.2,551,53.5,634,35.2,1077,38.2,873,United States,"28,221",20.0,6%,53 : 47,Louisiana State University,"Communication & Media Studies,Civil Engineering,Politics & International Studies (incl Development Studies),General Engineering,Business & Management,Sociology,Sport Science,Medicine & Dentistry,Geology, Environmental, Earth & Marine Sciences,Architecture,Economics & Econometrics,Chemistry,Other Health,Education,Languages, Literature & Linguistics,Geography,Computer Science,Agriculture & Forestry,Mathematics & Statistics,Biological Sciences,Physics & Astronomy,Electrical & Electronic Engineering,History, Philosophy & Theology,Chemical Engineering,Psychology,Law,Art, Performing Arts & Design,Accounting & Finance,Mechanical & Aerospace Engineering",False,False,Baton Rouge,LA,70803,East Baton Rouge,30.4127,-91.1807,2021
4590,401–500,Mizzou - University of Missouri,39.8–43.5,4590,35.3,310,25.7,481,64.2,487,34.8,1147,41.5,785,United States,"26,446",12.5,5%,53 : 47,Mizzou - University of Missouri,"Mechanical & Aerospace Engineering,Mathematics & Statistics,Other Health,Sociology,Chemical Engineering,Chemistry,Geology, Environmental, Earth & Marine Sciences,Sport Science,Business & Management,Geography,Civil Engineering,Education,Art, Performing Arts & Design,Archaeology,Biological Sciences,Veterinary Science,Medicine & Dentistry,Electrical & Electronic Engineering,Politics & International Studies (incl Development Studies),History, Philosophy & Theology,Economics & Econometrics,Agriculture & Forestry,Psychology,Computer Science,Accounting & Finance,Law,General Engineering,Languages, Literature & Linguistics,Physics & Astronomy,Communication & Media Studies",False,False,Columbia,MO,65211,Boone,38.941,-92.3264,2021
7380,601–800,New Mexico State University (Main campus),30.2–36.3,7380,23.2,789,19.7,667,49.7,682,37.0,879,37.4,900,United States,"12,400",16.3,7%,55 : 45,New Mexico State University (Main campus),"Accounting & Finance,Geology, Environmental, Earth & Marine Sciences,Chemistry,Politics & International Studies (incl Development Studies),Geography,Computer Science,Electrical & Electronic Engineering,Civil Engineering,Other Health,Mathematics & Statistics,Sociology,Communication & Media Studies,Chemical Engineering,Languages, Literature & Linguistics,History, Philosophy & Theology,Sport Science,Psychology,Agriculture & Forestry,Biological Sciences,General Engineering,Economics & Econometrics,Medicine & Dentistry,Mechanical & Aerospace Engineering,Business & Management,Art, Performing Arts & Design,Education,Physics & Astronomy",False,False,Las Cruces,NY,88003,Doña Ana,32.2829,-106.7478,2021
3230,301–350,North Carolina State University,45.6–47.9,3230,36.6,281,36.3,265,62.3,511,42.6,552,59.0,440,United States,"29,966",12.5,15%,46 : 54,North Carolina State University,"Biological Sciences,Art, Performing Arts & Design,Chemistry,Education,Agriculture & Forestry,Politics & International Studies (incl Development Studies),Economics & Econometrics,Civil Engineering,Psychology,Computer Science,Communication & Media Studies,History, Philosophy & Theology,Architecture,Mathematics & Statistics,General Engineering,Mechanical & Aerospace Engineering,Sociology,Business & Management,Chemical Engineering,Physics & Astronomy,Veterinary Science,Accounting & Finance,Languages, Literature & Linguistics,Electrical & Electronic Engineering,Geology, Environmental, Earth & Marine Sciences",False,False,Raleigh,NC,27695,Wake,35.7851,-78.6744,2021
1760,=176,"Northeastern University, US",55.8,1760,36.7,278,29.1,394,98.2,34,36.5,927,76.0,243,United States,"20,711",14.1,36%,48 : 52,"Northeastern University, US","Psychology,Accounting & Finance,Politics & International Studies (incl Development Studies),Veterinary Science,Communication & Media Studies,Physics & Astronomy,Civil Engineering,Art, Performing Arts & Design,Languages, Literature & Linguistics,Chemical Engineering,Mathematics & Statistics,Other Health,Business & Management,Architecture,Mechanical & Aerospace Engineering,Electrical & Electronic Engineering,History, Philosophy & Theology,Geology, Environmental, Earth & Marine Sciences,General Engineering,Geography,Biological Sciences,Computer Science,Medicine & Dentistry,Education,Chemistry,Law,Sociology,Sport Science,Economics & Econometrics",False,False,Boston,MA,2115,Suffolk,42.3395,-71.0878,2021
820,=80,Ohio State University (Main campus),65.1,820,55.6,78,54.2,102,87.9,162,53.3,333,60.1,416,United States,"54,650",12.1,13%,50 : 50,Ohio State University (Main campus),"Electrical & Electronic Engineering,Politics & International Studies (incl Development Studies),Chemical Engineering,Education,Mechanical & Aerospace Engineering,Art, Performing Arts & Design,Communication & Media Studies,Agriculture & Forestry,Accounting & Finance,Geology, Environmental, Earth & Marine Sciences,Biological Sciences,Sport Science,Chemistry,Geography,History, Philosophy & Theology,Economics & Econometrics,Mathematics & Statistics,Languages, Literature & Linguistics,Other Health,Civil Engineering,Psychology,Medicine & Dentistry,General Engineering,Physics & Astronomy,Architecture,Computer Science,Veterinary Science,Business & Management,Law,Archaeology,Sociology",False,False,Columbus,OH,43210,Franklin,39.9995,-83.0082,2021
7440,601–800,Ohio University (Main campus),30.2–36.3,7440,28.7,518,17.8,745,45.5,752,34.9,1131,29.6,1078,United States,"24,729",23.0,5%,56 : 44,Ohio University (Main campus),"Psychology,Accounting & Finance,Chemistry,Geology, Environmental, Earth & Marine Sciences,Computer Science,Education,Art, Performing Arts & Design,Mechanical & Aerospace Engineering,Biological Sciences,Business & Management,General Engineering,Languages, Literature & Linguistics,Sociology,Mathematics & Statistics,Communication & Media Studies,Medicine & Dentistry,Economics & Econometrics,History, Philosophy & Theology,Physics & Astronomy,Sport Science,Chemical Engineering,Geography,Civil Engineering,Politics & International Studies (incl Development Studies),Electrical & Electronic Engineering,Other Health",False,False,Athens,OH,45701,Athens,39.3237,-82.1035,2021
4680,401–500,Oklahoma State University,39.8–43.5,4680,28.6,526,20.4,638,75.0,329,39.4,702,44.1,721,United States,"22,047",15.4,7%,50 : 50,Oklahoma State University,"Electrical & Electronic Engineering,Mechanical & Aerospace Engineering,Economics & Econometrics,General Engineering,Art, Performing Arts & Design,Chemical Engineering,Psychology,Mathematics & Statistics,Communication & Media Studies,Languages, Literature & Linguistics,Geology, Environmental, Earth & Marine Sciences,Veterinary Science,Archaeology,Business & Management,Politics & International Studies (incl Development Studies),Chemistry,Civil Engineering,Agriculture & Forestry,History, Philosophy & Theology,Architecture,Education,Other Health,Geography,Sport Science,Computer Science,Biological Sciences,Medicine & Dentistry,Accounting & Finance,Sociology,Physics & Astronomy",False,False,Stillwater,OK,74078,Payne,36.123,-97.0696,2021
2790,251–300,Oregon Health and Science University,48.0–50.5,2790,36.5,283,17.4,771,99.7,18,46.1,438,27.8,1136,United States,"2,999",1.0,3%,66 : 34,Oregon Health and Science University,"Other Health,Psychology,Medicine & Dentistry,Biological Sciences,Chemistry",False,False,Portland,OR,97239,Multnomah,45.4988,-122.686,2021
940,=94,Purdue University West Lafayette,62.5,940,57.1,72,65.5,63,62.0,518,69.9,178,71.5,286,United States,"41,573",16.3,22%,43 : 57,Purdue University West Lafayette,"Architecture,History, Philosophy & Theology,Sociology,Chemistry,Education,Geology, Environmental, Earth & Marine Sciences,Biological Sciences,Chemical Engineering,Languages, Literature & Linguistics,General Engineering,Physics & Astronomy,Sport Science,Psychology,Law,Business & Management,Electrical & Electronic Engineering,Art, Performing Arts & Design,Economics & Econometrics,Computer Science,Agriculture & Forestry,Mathematics & Statistics,Civil Engineering,Medicine & Dentistry,Communication & Media Studies,Politics & International Studies (incl Development Studies),Other Health,Mechanical & Aerospace Engineering,Veterinary Science,Accounting & Finance",False,False,West Lafayette,IN,47907,Tippecanoe,40.4281,-86.9143,2021
1660,166,Rutgers University – New Brunswick,56.4,1660,47.3,125,48.5,138,75.8,321,40.4,656,52.5,554,United States,"44,264",11.0,17%,52 : 48,Rutgers University – New Brunswick,"Psychology,Sociology,Accounting & Finance,Mechanical & Aerospace Engineering,Mathematics & Statistics,Languages, Literature & Linguistics,General Engineering,Physics & Astronomy,Art, Performing Arts & Design,Medicine & Dentistry,Agriculture & Forestry,Chemical Engineering,Communication & Media Studies,Other Health,Chemistry,Geology, Environmental, Earth & Marine Sciences,Economics & Econometrics,Business & Management,Electrical & Electronic Engineering,Geography,Architecture,Education,Sport Science,History, Philosophy & Theology,Civil Engineering,Computer Science,Biological Sciences,Politics & International Studies (incl Development Studies)",False,False,New Brunswick,NJ,8901,Middlesex,40.4995,-74.447,2021
2880,251–300,SUNY University at Albany,48.0–50.5,2880,24.2,737,27.5,430,93.3,100,40.1,671,50.6,582,United States,"16,078",16.6,9%,53 : 47,SUNY University at Albany,"Computer Science,Geography,Mathematics & Statistics,Politics & International Studies (incl Development Studies),Archaeology,Electrical & Electronic Engineering,Other Health,Sociology,Business & Management,Biological Sciences,Economics & Econometrics,Art, Performing Arts & Design,Physics & Astronomy,Education,Communication & Media Studies,History, Philosophy & Theology,Chemistry,Languages, Literature & Linguistics,Geology, Environmental, Earth & Marine Sciences,Psychology,Accounting & Finance",False,False,Albany,NY,12222,Albany,42.6869,-73.8249,2021
1970,197,Texas A&M University,54.5,1970,47.4,123,51.6,116,64.8,479,44.9,475,56.1,487,United States,"62,070",24.4,8%,47 : 53,Texas A&M University,"Art, Performing Arts & Design,Sociology,Chemistry,History, Philosophy & Theology,Business & Management,Law,Economics & Econometrics,Medicine & Dentistry,Veterinary Science,Psychology,Politics & International Studies (incl Development Studies),Geography,Computer Science,Archaeology,Geology, Environmental, Earth & Marine Sciences,Physics & Astronomy,Electrical & Electronic Engineering,Mechanical & Aerospace Engineering,Mathematics & Statistics,Communication & Media Studies,Architecture,Other Health,Chemical Engineering,General Engineering,Languages, Literature & Linguistics,Accounting & Finance,Civil Engineering,Biological Sciences,Sport Science,Education,Agriculture & Forestry",False,False,College Station,TX,77843,Brazos,30.6107,-96.3491,2021
14620,1001+,Texas State University,10.3–25.0,14620,18.4,1161,16.5,805,27.1,1078,36.4,943,32.4,1012,United States,"31,872",19.4,1%,59 : 41,Texas State University,"Education,Politics & International Studies (incl Development Studies),Geology, Environmental, Earth & Marine Sciences,Architecture,General Engineering,History, Philosophy & Theology,Communication & Media Studies,Agriculture & Forestry,Computer Science,Art, Performing Arts & Design,Electrical & Electronic Engineering,Civil Engineering,Economics & Econometrics,Mathematics & Statistics,Languages, Literature & Linguistics,Sociology,Law,Chemistry,Business & Management,Geography,Biological Sciences,Sport Science,Other Health,Psychology,Mechanical & Aerospace Engineering,Accounting & Finance,Physics & Astronomy",False,False,San Marcos,TX,78666,Hays,29.888,-97.9391,2021
100,10,The University of Chicago,90.3,100,88.9,9,90.5,17,98.6,32,54.9,311,74.0,255,United States,"14,292",5.9,31%,46 : 54,The University of Chicago,"Business & Management,Physics & Astronomy,Economics & Econometrics,Psychology,Accounting & Finance,Law,Politics & International Studies (incl Development Studies),Chemical Engineering,Sociology,Archaeology,Computer Science,Art, Performing Arts & Design,Geography,Biological Sciences,Languages, Literature & Linguistics,Geology, Environmental, Earth & Marine Sciences,History, Philosophy & Theology,Mathematics & Statistics,Medicine & Dentistry,Chemistry",False,False,Chicago,IL,60637,Cook,41.7901,-87.6009,2021
3420,301–350,The University of Tennessee-Knoxville,45.6–47.9,3420,33.1,367,24.2,520,81.3,252,43.7,509,46.7,660,United States,"26,184",16.6,5%,,The University of Tennessee-Knoxville,"Physics & Astronomy,Economics & Econometrics,Electrical & Electronic Engineering,General Engineering,Mechanical & Aerospace Engineering,Law,History, Philosophy & Theology,Business & Management,Geology, Environmental, Earth & Marine Sciences,Architecture,Agriculture & Forestry,Geography,Education,Biological Sciences,Archaeology,Other Health,Sport Science,Sociology,Computer Science,Veterinary Science,Politics & International Studies (incl Development Studies),Art, Performing Arts & Design,Chemical Engineering,Psychology,Languages, Literature & Linguistics,Civil Engineering,Mathematics & Statistics,Communication & Media Studies,Chemistry,Accounting & Finance",False,False,Knoxville,TN,37996,Knox,35.9551,-83.92966,2021
3460,301–350,Tulane University,45.6–47.9,3460,42.9,174,24.1,527,78.2,297,35.8,1013,43.2,753,United States,"11,224",9.1,11%,58 : 42,Tulane University,"Languages, Literature & Linguistics,Chemistry,Art, Performing Arts & Design,Computer Science,Biological Sciences,Architecture,Education,Business & Management,General Engineering,Geology, Environmental, Earth & Marine Sciences,Chemical Engineering,Mechanical & Aerospace Engineering,Sociology,History, Philosophy & Theology,Sport Science,Accounting & Finance,Agriculture & Forestry,Communication & Media Studies,Other Health,Law,Politics & International Studies (incl Development Studies),Medicine & Dentistry,Physics & Astronomy,Economics & Econometrics,Psychology,Mathematics & Statistics",False,False,New Orleans,LA,70118,Orleans,29.9397,-90.1203,2021
70,7,"University of California, Berkeley",92.2,70,85.8,13,97.2,4,99.1,25,84.3,104,72.3,275,United States,"39,918",19.8,17%,51 : 49,"University of California, Berkeley","Communication & Media Studies,Education,Civil Engineering,Languages, Literature & Linguistics,Mathematics & Statistics,History, Philosophy & Theology,Agriculture & Forestry,Psychology,Economics & Econometrics,Mechanical & Aerospace Engineering,Geography,Chemical Engineering,Business & Management,Archaeology,Law,Physics & Astronomy,Politics & International Studies (incl Development Studies),Architecture,Biological Sciences,Sociology,Geology, Environmental, Earth & Marine Sciences,Computer Science,Electrical & Electronic Engineering,Art, Performing Arts & Design,Chemistry,General Engineering,Other Health",False,False,Berkeley,CA,94720,Alameda,37.8757,-122.2484,2021
640,=64,"University of California, Davis",68.9,640,60.5,58,66.2,59,81.9,241,50.4,371,66.9,329,United States,"36,395",13.6,17%,58 : 42,"University of California, Davis","Agriculture & Forestry,Electrical & Electronic Engineering,Politics & International Studies (incl Development Studies),Mechanical & Aerospace Engineering,Mathematics & Statistics,Chemical Engineering,Art, Performing Arts & Design,Medicine & Dentistry,Business & Management,History, Philosophy & Theology,Psychology,General Engineering,Law,Civil Engineering,Geography,Physics & Astronomy,Chemistry,Sociology,Veterinary Science,Economics & Econometrics,Other Health,Biological Sciences,Computer Science,Accounting & Finance,Education,Geology, Environmental, Earth & Marine Sciences,Communication & Media Studies,Languages, Literature & Linguistics",False,False,Davis,CA,95616,Yolo,38.5381,-121.751,2021
980,=98,"University of California, Irvine",62.1,980,43.5,164,47.5,143,93.5,99,53.2,334,72.4,273,United States,"35,040",17.5,27%,52 : 48,"University of California, Irvine","Languages, Literature & Linguistics,Biological Sciences,Chemical Engineering,Mathematics & Statistics,Economics & Econometrics,Sociology,Civil Engineering,Business & Management,General Engineering,Architecture,Computer Science,Geology, Environmental, Earth & Marine Sciences,Accounting & Finance,Law,Other Health,Electrical & Electronic Engineering,Physics & Astronomy,Art, Performing Arts & Design,Education,Politics & International Studies (incl Development Studies),History, Philosophy & Theology,Chemistry,Medicine & Dentistry,Mechanical & Aerospace Engineering,Psychology",False,False,Irvine,CA,92697,Orange,33.6431,-117.8378,2021
150,15,"University of California, Los Angeles",87.1,150,82.5,16,90.2,18,96.5,54,57.6,278,65.3,352,United States,"41,673",10.0,17%,55 : 45,"University of California, Los Angeles","Chemical Engineering,Psychology,Biological Sciences,Mechanical & Aerospace Engineering,Medicine & Dentistry,General Engineering,Communication & Media Studies,Agriculture & Forestry,Business & Management,Politics & International Studies (incl Development Studies),Accounting & Finance,Art, Performing Arts & Design,History, Philosophy & Theology,Computer Science,Chemistry,Sociology,Languages, Literature & Linguistics,Sport Science,Other Health,Civil Engineering,Geology, Environmental, Earth & Marine Sciences,Archaeology,Mathematics & Statistics,Education,Economics & Econometrics,Geography,Architecture,Physics & Astronomy,Electrical & Electronic Engineering,Law,Veterinary Science",False,False,Los Angeles,CA,90095,Los Angeles,34.0688,-118.4439,2021
3050,301–350,"University of California, Merced",45.6–47.9,3050,21.6,890,23.0,554,95.2,74,38.8,738,43.9,728,United States,"7,849",21.2,9%,51 : 49,"University of California, Merced","Economics & Econometrics,History, Philosophy & Theology,Electrical & Electronic Engineering,Mathematics & Statistics,Business & Management,General Engineering,Sociology,Civil Engineering,Politics & International Studies (incl Development Studies),Art, Performing Arts & Design,Mechanical & Aerospace Engineering,Geology, Environmental, Earth & Marine Sciences,Physics & Astronomy,Biological Sciences,Chemistry,Languages, Literature & Linguistics,Psychology,Other Health",False,False,Merced,CA,95343,Merced,37.3662,-120.4249,2021
2560,251–300,"University of California, Riverside",48.0–50.5,2560,31.2,423,30.3,372,85.0,208,37.5,840,65.7,345,United States,"22,498",17.7,14%,53 : 47,"University of California, Riverside","Economics & Econometrics,Mathematics & Statistics,Chemical Engineering,Chemistry,Languages, Literature & Linguistics,General Engineering,Sociology,History, Philosophy & Theology,Psychology,Other Health,Physics & Astronomy,Accounting & Finance,Agriculture & Forestry,Medicine & Dentistry,Communication & Media Studies,Biological Sciences,Education,Mechanical & Aerospace Engineering,Computer Science,Geology, Environmental, Earth & Marine Sciences,Art, Performing Arts & Design,Business & Management,Electrical & Electronic Engineering,Politics & International Studies (incl Development Studies)",False,False,Riverside,CA,92521,Riverside,33.9745,-117.3287,2021
330,33,"University of California, San Diego",77.7,330,60.3,60,80.4,30,94.3,87,95.6,54,64.4,361,United States,"34,232",12.0,30%,47 : 53,"University of California, San Diego","Other Health,Computer Science,Chemical Engineering,Physics & Astronomy,Economics & Econometrics,General Engineering,Politics & International Studies (incl Development Studies),Medicine & Dentistry,Biological Sciences,Sociology,History, Philosophy & Theology,Education,Mathematics & Statistics,Business & Management,Electrical & Electronic Engineering,Communication & Media Studies,Mechanical & Aerospace Engineering,Art, Performing Arts & Design,Chemistry,Accounting & Finance,Civil Engineering,Psychology,Languages, Literature & Linguistics,Geology, Environmental, Earth & Marine Sciences",False,False,San Diego,CA,92093,San Diego,32.881,-117.2377,2021
680,68,"University of California, Santa Barbara",67.9,680,45.8,140,59.6,81,96.7,51,81.8,111,70.0,301,United States,"24,780",28.2,18%,53 : 47,"University of California, Santa Barbara","Archaeology,Mechanical & Aerospace Engineering,Art, Performing Arts & Design,Veterinary Science,Geography,Chemical Engineering,Communication & Media Studies,Accounting & Finance,Geology, Environmental, Earth & Marine Sciences,Architecture,Biological Sciences,Politics & International Studies (incl Development Studies),History, Philosophy & Theology,Education,Physics & Astronomy,Languages, Literature & Linguistics,Mathematics & Statistics,Computer Science,Chemistry,Agriculture & Forestry,Economics & Econometrics,Electrical & Electronic Engineering,Psychology,Sociology",False,False,Santa Barbara,CA,93106,Santa Barbara,34.4123,-119.8514,2021
2080,201–250,"University of California, Santa Cruz",50.6–54.2,2080,31.4,413,31.9,334,96.2,58,38.9,727,63.6,369,United States,"19,457",23.8,12%,49 : 51,"University of California, Santa Cruz","Electrical & Electronic Engineering,Politics & International Studies (incl Development Studies),Art, Performing Arts & Design,Biological Sciences,Archaeology,Agriculture & Forestry,Business & Management,Physics & Astronomy,Languages, Literature & Linguistics,General Engineering,Computer Science,Chemistry,Other Health,Mathematics & Statistics,Education,Sociology,History, Philosophy & Theology,Geology, Environmental, Earth & Marine Sciences,Economics & Econometrics,Psychology",False,False,Santa Cruz,CA,95064,Santa Cruz,36.999,-122.0607,2021
3060,301–350,University of Colorado Denver/Anschutz Medical Campus,45.6–47.9,3060,32.7,376,19.1,687,94.2,91,41.0,631,29.9,1073,United States,"17,112",4.0,8%,56 : 44,University of Colorado Denver/Anschutz Medical Campus,"Medicine & Dentistry,Mathematics & Statistics,Communication & Media Studies,Electrical & Electronic Engineering,Business & Management,General Engineering,Physics & Astronomy,Art, Performing Arts & Design,Biological Sciences,Politics & International Studies (incl Development Studies),Geography,Other Health,Geology, Environmental, Earth & Marine Sciences,Computer Science,Sociology,History, Philosophy & Theology,Accounting & Finance,Mechanical & Aerospace Engineering,Sport Science,Economics & Econometrics,Architecture,Civil Engineering,Chemistry,Education,Psychology,Languages, Literature & Linguistics",False,False,Denver,CO,80217,Denver,39.7452,-104.8393,2021
